alien_name,enemy_name,alien1_species,alien1_home_planet,alien1_strength_level,alien1_speed_level,alien1_intelligence,alien2_species,alien2_home_planet,alien2_strength_level,alien2_speed_level,alien2_intelligence,winner
Spidermonkey,Snare-oh,Evidenceite,Vega,7,7,9,Aite,Vulcan,5,6,7,Diamondhead
Crashhopper,AmpFibian,Colorite,Vega,7,7,9,Particularite,Zantron,5,8,5,Crashhopper
Ultimate Wildmutt,Jetpack Alien,Respondite,Altair IV,10,9,5,Townite,Tau Ceti,8,9,8,Ultimate Wildmutt
Bullfrag,Toepick,Spaceite,Rylos,5,7,6,Norite,Epsilon Eridani,8,6,6,Gravattack
Eatle,Ultimate Way Big,Valueite,Orion Nebula,5,7,5,Threeite,Hala,7,4,6,Ultimate Way Big
Gravattack,Wildmutt,Aite,Kratos IV,5,7,6,Chanceite,Epsilon Eridani,8,6,10,Gravattack
Ultimate Echo Echo,Ultimate Way Big,Totalite,Solaris,6,6,9,Threeite,Omega Centauri,7,4,6,Toepick
Lodestar,Ultimate Gravattack,Cellite,Krypton,6,8,10,Actite,Rylos,10,4,7,Lodestar
Ultimate Way Big,Overflow,Threeite,Hala,7,4,6,Receiveite,Nebulon,6,7,8,Swampfire
Kickin Hawk,Chamalien,Loseite,Tierra Nova,8,5,8,Articleite,Alpha Centauri,5,4,5,Kickin Hawk
Wildvine,Ultimate Swampfire,Herite,Solaris,9,5,8,Centuryite,Ego the Living Planet,9,10,10,Ultimate Swampfire
Upgrade,Big Chill,Minuteite,Pandora,9,7,10,Sourceite,Vortis,9,5,8,Upgrade
Way Big,Wildmutt,Decideite,Epsilon Eridani,8,4,7,Chanceite,Epsilon Eridani,8,6,10,Wildmutt
Swampfire,Ultimate Echo Echo,Electionite,Krypton,9,4,10,Totalite,Solaris,6,6,9,Swampfire
Frankenstrike,Snare-oh,Actionite,Rylos,10,7,8,Aite,Vulcan,5,6,7,Frankenstrike
Ultimate Swampfire,XLR8,Centuryite,Ego the Living Planet,9,10,10,Withoutite,Qonos,7,4,8,Ultimate Swampfire
AmpFibian,Way Big,Particularite,Zantron,5,8,5,Formite,Tierra Nova,7,4,10,AmpFibian
Astrodactyl,Ultimate Gravattack,Acrossite,Hala,10,7,8,Actite,Rylos,10,4,7,Astrodactyl
Glitch Ben,Chamalien,Oilite,Vega,8,4,8,Articleite,Alpha Centauri,5,4,5,Chamalien
Lodestar,Ultimate Gravattack,Cellite,Krypton,6,8,10,Actite,Rylos,10,4,7,Lodestar
Heatblast,Ultimate Echo Echo,Ontoite,Talos IV,9,6,9,Totalite,Solaris,6,6,9,Heatblast
