alien_name,enemy_name,alien1_species,alien1_home_planet,alien1_strength_level,alien1_speed_level,alien1_intelligence,alien2_species,alien2_home_planet,alien2_strength_level,alien2_speed_level,alien2_intelligence,winner
Gax,Eatle,Loseite,Vega,7,4,6,Valueite,Zantron,5,7,5,Eatle
Slapback,Terraspin,Maybeite,Vega,7,4,6,Workite,Kratos IV,5,8,5,Snare-oh
Ultimate Wildmutt,Jetpack Alien,Respondite,Altair IV,10,9,5,Chanceite,Tau Ceti,8,9,8,Atomix
Bullfrag,Toepick,Colorite,Rylos,6,9,9,Receiveite,Xandar,8,6,10,Ball Weevil
Ultimate Echo Echo,Wildmutt,Oilite,Orion Nebula,8,7,9,Withoutite,Solaris,7,8,6,Ultimate Way Big
Ball Weevil,Four Arms,Aite,Altair IV,9,4,5,Articleite,Hala,8,4,6,Swampfire
Ultimate Echo Echo,Diamondhead,Aite,Tierra Nova,5,8,5,Workite,Zygara,8,4,6,Atomix
Astrodactyl,Terraspin,Somebodyite,Rylos,7,4,9,Mostite,Rylos,10,6,7,Terraspin
Diamondhead,Lodestar,Withoutite,Vega,7,7,9,Chanceite,Tierra Nova,6,8,6,Swampfire
Feedback,Chamalien,Valueite,Sirius,7,7,8,Articleite,Vulcan,5,4,7,Upgrade
Ultimate Big Chill,Ultimate Swampfire,Herite,Krypton,7,4,10,Centuryite,Ego the Living Planet,9,10,10,Ultimate Big Chill
Cannonbolt,Big Chill,Minuteite,Pandora,10,7,8,Sourceite,Vortis,9,5,8,Upgrade
Way Big,Swampfire,Storeite,Hala,9,5,7,Togetherite,Solaris,8,6,9,Gravattack
Diamondhead,Jetray,Mostite,Hala,9,5,9,Totalite,Hala,6,10,9,Terraspin
Glitch Ben,Gravattack,Greenite,Rylos,8,4,7,Formite,Vulcan,8,4,7,Ultimate Gravattack
Upchuck,Jury Rigg,Storeite,Beta Hydri,9,7,10,Centuryite,Vega,9,5,10,Jetray
Jetpack Alien,Ultimate Gravattack,Lateite,Rylos,5,8,10,Actite,Rylos,10,4,7,Humungousaur
Jetpack Alien,Swampfire,Oilite,Tierra Nova,6,7,9,Threeite,Hala,8,4,5,Snare-oh
Big Chill,Chamalien,Oilite,Vortis,8,5,8,Particularite,Alpha Centauri,5,7,5,Chamalien
Brainstorm,Terraspin,Somebodyite,Rylos,7,4,6,Aite,Orion Nebula,10,6,7,Terraspin
Pesky Dust,Heatblast,Indeedite,Talos IV,9,7,10,Minuteite,Altair IV,9,10,10,Ghostfreak
Spidermonkey,Upgrade,Eastite,Vega,7,6,9,Totalite,Hala,7,6,5,Overflow
Terraspin,Walkatrout,Decideite,Zygara,9,4,5,Minuteite,Vulcan,9,4,10,Cannonbolt
Eye Guy,Gutrot,Norite,Beta Hydri,9,4,9,Centuryite,Zantron,7,8,10,Whampire
Humungousaur,Ultimate Gravattack,Totalite,Rylos,5,8,10,Leaderite,Rylos,10,4,6,Grey Matter
Shock Rock,Ultimate Way Big,Personite,Vulcan,10,6,7,Threeite,Vega,7,6,6,Lodestar
Eatle,Way Big,Decideite,Hala,7,4,5,Earlyite,Solaris,7,8,10,Shocksquatch
Ultimate Spidermonkey,Bloxx,Yardite,Altair IV,5,9,5,Workite,Tau Ceti,8,9,8,Jetpack Alien
Ultimate Wildmutt,Jetpack Alien,Greenite,Altair IV,10,10,5,Townite,Vortis,9,9,8,Ultimate Wildmutt
Fasttrack,Cannonbolt,Everite,Andromeda Prime,9,10,10,Whereite,Xandar,9,10,9,Ultimate Big Chill
The Worst,Ditto,Loseite,Alpha Centauri,8,10,5,Greenite,Kratos IV,6,4,10,Frankenstrike
Brainstorm,Terraspin,Somebodyite,Rylos,7,7,10,Aite,Vulcan,10,6,7,Terraspin
Fasttrack,Feedback,Aite,Sirius,10,8,7,Riskite,Hala,9,10,6,Ultimate Humungousaur
Big Chill,Chamalien,Sourceite,Vortis,8,5,8,Articleite,Alpha Centauri,5,4,5,Glitch Ben
Toepick,Bloxx,Cellite,Xenon,6,6,6,Aite,Orion Nebula,10,6,7,Terraspin
Ditto,Ultimate Spidermonkey,Formite,Hala,5,10,5,Chanceite,Rylos,8,4,6,Blitzwolfer
Terraspin,Ultimate Gravattack,Centuryite,Hala,9,7,9,Thusite,Vega,7,4,6,Blitzwolfer
Humungousaur,Blitzwolfer,Togetherite,Krypton,9,7,8,Aite,Rylos,8,4,7,Terraspin
Blitzwolfer,Jetray,Bestite,Hala,6,6,5,Groundite,Nexus Prime,7,4,9,Ultimate Echo Echo
Grey Matter,Snare-oh,Evidenceite,Vega,7,8,6,Cellite,Tierra Nova,5,8,10,Gravattack
The Worst,Ditto,Oilite,Vortis,8,5,8,Articleite,Alpha Centauri,5,4,5,Chamalien
Eye Guy,Four Arms,Cellite,Altair IV,6,10,10,Threeite,Talos IV,9,4,8,Grey Matter
