alien_name,enemy_name,alien1_species,alien1_home_planet,alien1_strength_level,alien1_speed_level,alien1_intelligence,alien2_species,alien2_home_planet,alien2_strength_level,alien2_speed_level,alien2_intelligence,winner
Kickin Hawk,Gravattack,Threeite,Beta Hydri,10,5,9,Discussionite,Sirius,9,4,8,Ultimate Swampfire
Feedback,Ultimate Wildmutt,Articleite,Krypton,10,5,10,Mostite,Tau Ceti,7,5,8,Ditto
Bloxx,Four Arms,Whereite,Vulcan,9,6,8,Threeite,Hala,5,10,6,Toepick
Gax,Ditto,Simpleite,Zantron,9,4,5,Workite,Vulcan,9,10,10,Big Chill
XLR8,Ultimate Echo Echo,Valueite,Vulcan,7,7,5,Minuteite,Alpha Centauri,10,5,5,Stinkfly
Ultimate Way Big,Ultimate Gravattack,Sourceite,Ego the Living Planet,7,5,10,Discussionite,Sirius,6,9,10,Fasttrack
Ultimate Echo Echo,Ditto,Middleite,Vortis,10,7,7,Herite,Alpha Centauri,8,6,8,Ultimate Swampfire
Terraspin,Ditto,Actionite,Tierra Nova,9,5,9,Ontoite,Epsilon Eridani,7,10,5,Gravattack
Gax,Snare-oh,Norite,Hala,9,7,10,Aite,Epsilon Eridani,9,7,5,Astrodactyl
Shock Rock,Eatle,Littleite,Alpha Centauri,7,5,6,Valueite,Orion Nebula,8,7,6,AmpFibian
Ultimate Echo Echo,Overflow,Sendite,Hala,10,4,8,Minuteite,Zygara,10,4,5,NRG
NRG,Feedback,Eastite,Tau Ceti,9,6,8,Norite,Nebulon,8,10,9,Ditto
Whampire,Chamalien,Oilite,Vega,5,8,5,Actite,Zantron,9,7,10,Four Arms
Goop,Wildmutt,Particularlyite,Beta Hydri,10,7,9,Decideite,Orion Nebula,10,10,9,Overflow
Ultimate Spidermonkey,Cannonbolt,Sendite,Xenon,7,7,8,Girlite,Solaris,8,4,9,Upchuck
Ghostfreak,Lodestar,Darkite,Nexus Prime,8,4,7,Discussionite,Rylos,5,4,10,Ultimate Echo Echo
Shock Rock,Lodestar,Mostite,Vega,6,6,9,Candidateite,Vortis,7,4,5,Lodestar
Pesky Dust,Ultimate Echo Echo,Withoutite,Pandora,10,4,8,Centuryite,Solaris,6,9,9,Jetpack Alien
Rath,Ditto,Cellite,Tierra Nova,5,8,7,Townite,Tau Ceti,10,10,10,Way Big
Ultimate Big Chill,Upchuck,Herite,Kratos IV,7,10,8,Particularlyite,Pandora,9,5,10,Spidermonkey
Mole-Stache,Way Big,Growthite,Zygara,6,8,6,Totalite,Alpha Centauri,9,4,7,Wildmutt
Ditto,Cannonbolt,Workite,Orion Nebula,9,8,6,Norite,Zantron,10,5,6,Way Big
Astrodactyl,Big Chill,Minuteite,Altair IV,5,8,6,Aite,Krypton,9,4,7,Ultimate Cannonbolt
Feedback,Way Big,Addite,Tau Ceti,7,8,7,Greenite,Tau Ceti,9,4,10,Gax
Frankenstrike,Ultimate Big Chill,Whereite,Nebulon,9,7,7,Cellite,Rylos,9,4,10,AmpFibian
