alien_name,enemy_name,alien1_species,alien1_home_planet,alien1_strength_level,alien1_speed_level,alien1_intelligence,alien2_species,alien2_home_planet,alien2_strength_level,alien2_speed_level,alien2_intelligence,winner
Four Arms,Wildmutt,Decideite,Epsilon Eridani,8,9,5,Chanceite,Epsilon Eridani,8,6,10,Wildmutt
Frankenstrike,Eatle,Actionite,Tierra Nova,9,7,8,Valueite,Orion Nebula,5,4,5,AmpFibian
Jetray,Jetray,Dealite,Tau Ceti,9,4,8,Dealite,Krypton,6,8,10,Lodestar
Four Arms,Wildmutt,Decideite,Epsilon Eridani,10,9,5,Chanceite,Epsilon Eridani,8,9,8,Wildmutt
Terraspin,Ultimate Way Big,Mostite,Solaris,6,6,6,Threeite,Hala,7,4,6,Terraspin
Shock Rock,Eatle,Littleite,Rylos,7,6,10,Valueite,Orion Nebula,5,7,5,Eatle
Lodestar,Ultimate Way Big,Cellite,Rylos,8,8,6,Threeite,Krypton,9,4,6,Lodestar
Whampire,Four Arms,Riskite,Vega,7,9,9,Decideite,Vulcan,5,6,5,Snare-oh
Mole-Stache,Overflow,Yardite,Vega,7,5,10,Receiveite,Nebulon,6,7,8,Overflow
Terraspin,Wildmutt,Mostite,Vulcan,9,6,7,Chanceite,Vortis,7,6,8,Gravattack
Shock Rock,Eatle,Littleite,Rylos,7,5,10,Valueite,Orion Nebula,5,4,10,NRG
Rath,Eatle,Bestite,Vega,5,8,10,Valueite,Orion Nebula,10,6,7,Rath
Gravattack,Wildmutt,Personite,Hala,9,5,5,Chanceite,Epsilon Eridani,8,9,9,Gravattack
Rath,Eatle,Actionite,Vega,7,4,8,Valueite,Orion Nebula,5,4,5,Eatle
Frankenstrike,Jetray,Actionite,Kratos IV,7,4,10,Dealite,Krypton,6,8,10,Lodestar
Ultimate Humungousaur,Jetray,Togetherite,Beta Hydri,7,4,10,Dealite,Krypton,9,10,10,Ultimate Big Chill
Rath,Eatle,Bestite,Vega,5,6,10,Valueite,Orion Nebula,5,7,5,Rath
Humungousaur,Ultimate Gravattack,Lateite,Rylos,5,8,10,Actite,Rylos,10,4,7,Lodestar
Shock Rock,Eatle,Littleite,Rylos,7,6,10,Valueite,Orion Nebula,10,4,7,Eatle
Walkatrout,Grey Matter,Taxite,Vulcan,9,9,9,Groundite,Krypton,8,4,6,Grey Matter
Frankenstrike,Snare-oh,Actionite,Rylos,9,5,8,Aite,Xandar,5,6,7,Gax
Rath,Eatle,Bestite,Rylos,9,6,8,Valueite,Orion Nebula,5,7,5,Eatle
Slapback,Bloxx,Personite,Ego the Living Planet,9,10,5,Agentite,Hala,9,10,9,AmpFibian
Frankenstrike,Snare-oh,Actionite,Vega,10,7,9,Aite,Vulcan,5,6,7,Way Big
Diamondhead,Wildvine,Evidenceite,Vega,10,7,8,Withoutite,Solaris,9,5,9,Diamondhead
Frankenstrike,Snare-oh,Actionite,Vega,9,7,8,Aite,Xandar,5,6,7,Frankenstrike
Lodestar,Ultimate Way Big,Cellite,Solaris,8,8,6,Threeite,Hala,10,4,7,Lodestar
Lodestar,Wildmutt,Decideite,Vortis,8,7,8,Chanceite,Orion Nebula,8,6,9,Gravattack
Overflow,Big Chill,Receiveite,Epsilon Eridani,8,6,8,Sourceite,Vortis,9,8,10,Wildmutt
Overflow,Big Chill,Middleite,Xandar,8,10,8,Programite,Vortis,9,7,10,Upgrade
Rath,Eatle,Formite,Vega,5,4,5,Valueite,Orion Nebula,6,7,7,Eatle
Shock Rock,Eatle,Littleite,Rylos,9,10,6,Valueite,Orion Nebula,5,4,5,Eatle
Jetray,Lodestar,Dealite,Tau Ceti,9,4,6,Cellite,Krypton,6,8,10,Lodestar
Walkatrout,Ultimate Way Big,Taxite,Vulcan,5,8,10,Actite,Krypton,10,4,5,Slapback
Gravattack,Wildmutt,Storeite,Rylos,7,7,6,Chanceite,Epsilon Eridani,8,6,9,Way Big
Slapback,Ultimate Echo Echo,Personite,Hala,9,4,6,Totalite,Solaris,6,6,9,Ultimate Echo Echo
Blitzwolfer,Bloxx,Storeite,Hala,10,5,8,Agentite,Hala,8,4,9,Gravattack
NRG,Ultimate Gravattack,Earlyite,Alpha Centauri,6,5,6,Actite,Krypton,5,8,5,NRG
Ultimate Wildmutt,Four Arms,Respondite,Altair IV,10,9,5,Townite,Tau Ceti,8,9,8,Way Big
Walkatrout,Wildmutt,Taxite,Tierra Nova,5,4,5,Chanceite,Epsilon Eridani,8,4,5,Wildmutt
Ditto,Swampfire,Workite,Alpha Centauri,8,4,6,Electionite,Krypton,9,8,10,Ditto
Lodestar,Ultimate Way Big,Cellite,Rylos,5,8,10,Threeite,Rylos,10,4,7,Humungousaur
Walkatrout,Wildmutt,Taxite,Orion Nebula,8,7,9,Chanceite,Krypton,7,4,6,Gravattack
Hot Shot,Big Chill,Personite,Epsilon Eridani,5,9,7,Sourceite,Krypton,7,10,10,Hot Shot
Shock Rock,Eatle,Littleite,Rylos,7,4,10,Valueite,Krypton,6,10,10,Overflow
Frankenstrike,Four Arms,Actionite,Vega,7,7,9,Aite,Vulcan,5,6,7,Frankenstrike
Rath,Eatle,Bestite,Vega,8,5,8,Valueite,Orion Nebula,5,4,5,Rath
Ultimate Way Big,Overflow,Threeite,Hala,7,4,6,Herite,Nebulon,6,7,8,Ultimate Way Big
Frankenstrike,Snare-oh,Actionite,Rylos,7,7,10,Aite,Vulcan,5,6,7,Way Big
Toepick,Heatblast,Whereite,Xandar,7,6,9,Ontoite,Talos IV,9,6,6,Toepick
Frankenstrike,Snare-oh,Actionite,Vega,5,8,5,Aite,Krypton,5,8,10,Way Big
Rath,Eatle,Bestite,Vega,5,8,8,Valueite,Orion Nebula,5,7,5,Rath
Frankenstrike,Snare-oh,Actionite,Rylos,7,7,5,Aite,Krypton,5,6,10,Way Big
Frankenstrike,Big Chill,Middleite,Kratos IV,10,7,8,Sourceite,Altair IV,9,10,9,Upgrade
Frankenstrike,Eatle,Actionite,Altair IV,9,5,8,Valueite,Vulcan,5,4,7,Gravattack
Alien X,Jetray,Indeedite,Krypton,7,10,10,Dealite,Krypton,9,10,10,Ultimate Big Chill
Shock Rock,Walkatrout,Actionite,Vega,7,4,10,Aite,Krypton,5,9,10,Frankenstrike
Alien X,Ultimate Big Chill,Indeedite,Andromeda Prime,7,8,6,Herite,Krypton,9,10,10,Lodestar
Shock Rock,Eatle,Littleite,Rylos,8,5,6,Valueite,Orion Nebula,9,4,10,Humungousaur
NRG,Ultimate Big Chill,Particularlyite,Altair IV,9,10,10,Herite,Krypton,9,10,10,Ultimate Big Chill
Shock Rock,Ultimate Big Chill,Indeedite,Beta Hydri,7,4,10,Herite,Krypton,9,10,10,Ultimate Big Chill
Crashhopper,AmpFibian,Colorite,Vega,7,7,9,Particularite,Zantron,5,8,5,Crashhopper
Terraspin,Ultimate Way Big,Mostite,Tierra Nova,9,6,5,Agentite,Hala,9,10,9,Terraspin
